model,val_acc,val_loss,val_f1,vocab_min_freq,hidden_dim,lr,clip,freeze
rnn,0.8237232289950577,0.4547929420109832,0.8209704406023425,1,200,0.001,0.25,True
rnn,0.8061504667764964,1.1931055853616923,0.8039977790116601,1,200,0.001,0.25,False
rnn,0.8132894014277869,0.4666883579850655,0.8036951501154734,1,200,0.001,1.0,True
rnn,0.7775947281713345,1.1399881032585508,0.7441566645609602,1,200,0.001,1.0,False
rnn,0.7320153761669412,0.6361656888443844,0.6587412587412588,1,200,0.001,5.0,True
rnn,0.7814387699066447,0.7384788596584272,0.7896405919661733,1,200,0.001,5.0,False
rnn,0.7792421746293245,0.46226252014004615,0.8037109375,1,200,0.0001,0.25,True
rnn,0.8094453596924767,0.48331039399317766,0.8264132066033016,1,200,0.0001,0.25,False
rnn,0.7797913234486545,0.4587919513220842,0.8052452646915979,1,200,0.0001,1.0,True
rnn,0.8171334431630972,0.4346752386051243,0.8298415942769545,1,200,0.0001,1.0,False
rnn,0.7847336628226249,0.44890486383948724,0.80859375,1,200,0.0001,5.0,True
rnn,0.8072487644151565,0.4173938246266911,0.8273487456960157,1,200,0.0001,5.0,False
rnn,0.7732015376166941,0.47140931024255495,0.7893931667516573,1,200,5e-05,0.25,True
rnn,0.7792421746293245,0.4675125941216847,0.7932098765432098,1,200,5e-05,0.25,False
rnn,0.7726523887973641,0.47067246659321815,0.7892057026476579,1,200,5e-05,1.0,True
rnn,0.7874794069192751,0.45827743486347333,0.8018433179723502,1,200,5e-05,1.0,False
rnn,0.7803404722679846,0.46187864529569356,0.7997997997997998,1,200,5e-05,5.0,True
rnn,0.7935200439319056,0.4327043183945745,0.8097165991902834,1,200,5e-05,5.0,False
rnn,0.8056013179571664,0.5161309923397716,0.7857142857142857,1,300,0.001,0.25,True
rnn,0.8215266337177375,0.7770151890351967,0.8330765279917822,1,300,0.001,0.25,False
rnn,0.8066996155958265,0.5270493901214516,0.7993158494868872,1,300,0.001,1.0,True
rnn,0.757276221856123,0.9311974353020431,0.7760891590678825,1,300,0.001,1.0,False
rnn,0.8127402526084568,0.4319031638211434,0.8039102932719954,1,300,0.001,5.0,True
rnn,0.8045030203185063,0.6485805125566448,0.7890995260663507,1,300,0.001,5.0,False
rnn,0.7874794069192751,0.45110113723208656,0.803453529710513,1,300,0.0001,0.25,True
rnn,0.8209774848984075,0.49906065174670483,0.8168539325842696,1,300,0.0001,0.25,False
rnn,0.7874794069192751,0.4457280102796047,0.8026517083120857,1,300,0.0001,1.0,True
rnn,0.8171334431630972,0.47277929262758805,0.8136541689983212,1,300,0.0001,1.0,False
rnn,0.7990115321252059,0.4255054588831106,0.8125,1,300,0.0001,5.0,True
