=== Hyperparameter Optimization Results ===

### RNN Model ###
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=0.25, freeze=True -> val_acc=0.8237, val_loss=0.4548, val_f1=0.8210
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=0.25, freeze=False -> val_acc=0.8062, val_loss=1.1931, val_f1=0.8040
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=1.0, freeze=True -> val_acc=0.8133, val_loss=0.4667, val_f1=0.8037
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=1.0, freeze=False -> val_acc=0.7776, val_loss=1.1400, val_f1=0.7442
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=5.0, freeze=True -> val_acc=0.7320, val_loss=0.6362, val_f1=0.6587
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.001, clip=5.0, freeze=False -> val_acc=0.7814, val_loss=0.7385, val_f1=0.7896
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.7792, val_loss=0.4623, val_f1=0.8037
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.8094, val_loss=0.4833, val_f1=0.8264
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.7798, val_loss=0.4588, val_f1=0.8052
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.8171, val_loss=0.4347, val_f1=0.8298
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.7847, val_loss=0.4489, val_f1=0.8086
RNN | vocab_min_freq=1, hidden_dim=200, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.8072, val_loss=0.4174, val_f1=0.8273
RNN | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.7732, val_loss=0.4714, val_f1=0.7894
RNN | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.7792, val_loss=0.4675, val_f1=0.7932
RNN | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.7727, val_loss=0.4707, val_f1=0.7892
RNN | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.7875, val_loss=0.4583, val_f1=0.8018
RNN | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.7803, val_loss=0.4619, val_f1=0.7998
RNN | vocab_min_freq=1, hidden_dim=200, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.7935, val_loss=0.4327, val_f1=0.8097
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=0.25, freeze=True -> val_acc=0.8056, val_loss=0.5161, val_f1=0.7857
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=0.25, freeze=False -> val_acc=0.8215, val_loss=0.7770, val_f1=0.8331
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=1.0, freeze=True -> val_acc=0.8067, val_loss=0.5270, val_f1=0.7993
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=1.0, freeze=False -> val_acc=0.7573, val_loss=0.9312, val_f1=0.7761
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=5.0, freeze=True -> val_acc=0.8127, val_loss=0.4319, val_f1=0.8039
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.001, clip=5.0, freeze=False -> val_acc=0.8045, val_loss=0.6486, val_f1=0.7891
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.7875, val_loss=0.4511, val_f1=0.8035
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.8210, val_loss=0.4991, val_f1=0.8169
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.7875, val_loss=0.4457, val_f1=0.8027
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.8171, val_loss=0.4728, val_f1=0.8137
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.7990, val_loss=0.4255, val_f1=0.8125
RNN | vocab_min_freq=1, hidden_dim=300, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.8078, val_loss=0.4225, val_f1=0.8196
RNN | vocab_min_freq=1, hidden_dim=300, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.7897, val_loss=0.4481, val_f1=0.7966
RNN | vocab_min_freq=1, hidden_dim=300, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.8062, val_loss=0.4455, val_f1=0.8076
RNN | vocab_min_freq=1, hidden_dim=300, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.7941, val_loss=0.4425, val_f1=0.8011
RNN | vocab_min_freq=1, hidden_dim=300, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.8072, val_loss=0.4354, val_f1=0.8085
RNN | vocab_min_freq=1, hidden_dim=300, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.7919, val_loss=0.4379, val_f1=0.8015
RNN | vocab_min_freq=1, hidden_dim=300, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.8078, val_loss=0.4139, val_f1=0.8104
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.001, clip=0.25, freeze=True -> val_acc=0.8051, val_loss=0.5230, val_f1=0.7928
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.001, clip=0.25, freeze=False -> val_acc=0.6952, val_loss=1.8480, val_f1=0.5969
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.001, clip=1.0, freeze=True -> val_acc=0.8133, val_loss=0.5058, val_f1=0.8122
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.001, clip=1.0, freeze=False -> val_acc=0.8072, val_loss=0.8909, val_f1=0.8072
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.001, clip=5.0, freeze=True -> val_acc=0.7908, val_loss=0.4224, val_f1=0.7796
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.001, clip=5.0, freeze=False -> val_acc=0.7968, val_loss=0.8409, val_f1=0.7733
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.7968, val_loss=0.4453, val_f1=0.8063
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.8182, val_loss=0.5119, val_f1=0.8154
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.7990, val_loss=0.4358, val_f1=0.8090
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.8210, val_loss=0.4511, val_f1=0.8215
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.0001, clip=5.0, freeze=True -> val_acc=0.7935, val_loss=0.4336, val_f1=0.8066
RNN | vocab_min_freq=1, hidden_dim=400, lr=0.0001, clip=5.0, freeze=False -> val_acc=0.7979, val_loss=0.4644, val_f1=0.8169
RNN | vocab_min_freq=1, hidden_dim=400, lr=5e-05, clip=0.25, freeze=True -> val_acc=0.7891, val_loss=0.4562, val_f1=0.7981
RNN | vocab_min_freq=1, hidden_dim=400, lr=5e-05, clip=0.25, freeze=False -> val_acc=0.8051, val_loss=0.4602, val_f1=0.8119
RNN | vocab_min_freq=1, hidden_dim=400, lr=5e-05, clip=1.0, freeze=True -> val_acc=0.7913, val_loss=0.4531, val_f1=0.7974
RNN | vocab_min_freq=1, hidden_dim=400, lr=5e-05, clip=1.0, freeze=False -> val_acc=0.8105, val_loss=0.4435, val_f1=0.8136
RNN | vocab_min_freq=1, hidden_dim=400, lr=5e-05, clip=5.0, freeze=True -> val_acc=0.7935, val_loss=0.4433, val_f1=0.8027
RNN | vocab_min_freq=1, hidden_dim=400, lr=5e-05, clip=5.0, freeze=False -> val_acc=0.8127, val_loss=0.4140, val_f1=0.8119
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.001, clip=0.25, freeze=True -> val_acc=0.7474, val_loss=0.5741, val_f1=0.7475
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.001, clip=0.25, freeze=False -> val_acc=0.7457, val_loss=0.5858, val_f1=0.7432
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.001, clip=1.0, freeze=True -> val_acc=0.7276, val_loss=0.5640, val_f1=0.6976
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.001, clip=1.0, freeze=False -> val_acc=0.7441, val_loss=0.5904, val_f1=0.7355
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.001, clip=5.0, freeze=True -> val_acc=0.7441, val_loss=0.5281, val_f1=0.7437
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.001, clip=5.0, freeze=False -> val_acc=0.7424, val_loss=0.5332, val_f1=0.7387
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.0001, clip=0.25, freeze=True -> val_acc=0.7106, val_loss=0.5757, val_f1=0.6959
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.0001, clip=0.25, freeze=False -> val_acc=0.7304, val_loss=0.5523, val_f1=0.7199
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.0001, clip=1.0, freeze=True -> val_acc=0.7216, val_loss=0.5565, val_f1=0.7228
RNN | vocab_min_freq=20, hidden_dim=200, lr=0.0001, clip=1.0, freeze=False -> val_acc=0.7370, val_loss=0.5371, val_f1=0.7331
