=== RNN Grid Search Results ===

[RNN] hidden_dim=150, layers=2, dropout=0.0, bi=False -> val_acc=0.7540, val_loss=0.5524
[RNN] hidden_dim=150, layers=2, dropout=0.0, bi=True -> val_acc=0.7490, val_loss=0.7566
[RNN] hidden_dim=150, layers=2, dropout=0.3, bi=False -> val_acc=0.7606, val_loss=0.5127
[RNN] hidden_dim=150, layers=2, dropout=0.3, bi=True -> val_acc=0.7529, val_loss=0.6512
[RNN] hidden_dim=150, layers=2, dropout=0.5, bi=False -> val_acc=0.7727, val_loss=0.4920
[RNN] hidden_dim=150, layers=2, dropout=0.5, bi=True -> val_acc=0.7677, val_loss=0.5538
[RNN] hidden_dim=150, layers=3, dropout=0.0, bi=False -> val_acc=0.7551, val_loss=0.5871
[RNN] hidden_dim=150, layers=3, dropout=0.0, bi=True -> val_acc=0.7419, val_loss=0.8930
[RNN] hidden_dim=150, layers=3, dropout=0.3, bi=False -> val_acc=0.7584, val_loss=0.5282
[RNN] hidden_dim=150, layers=3, dropout=0.3, bi=True -> val_acc=0.7496, val_loss=0.6919
[RNN] hidden_dim=150, layers=3, dropout=0.5, bi=False -> val_acc=0.7705, val_loss=0.4948
[RNN] hidden_dim=150, layers=3, dropout=0.5, bi=True -> val_acc=0.7650, val_loss=0.6516
[RNN] hidden_dim=150, layers=4, dropout=0.0, bi=False -> val_acc=0.7457, val_loss=0.6374
[RNN] hidden_dim=150, layers=4, dropout=0.0, bi=True -> val_acc=0.7260, val_loss=0.7729
[RNN] hidden_dim=150, layers=4, dropout=0.3, bi=False -> val_acc=0.7661, val_loss=0.5851
[RNN] hidden_dim=150, layers=4, dropout=0.3, bi=True -> val_acc=0.7507, val_loss=0.6602
[RNN] hidden_dim=150, layers=4, dropout=0.5, bi=False -> val_acc=0.7748, val_loss=0.5366
[RNN] hidden_dim=150, layers=4, dropout=0.5, bi=True -> val_acc=0.7655, val_loss=0.5564
[RNN] hidden_dim=200, layers=2, dropout=0.0, bi=False -> val_acc=0.7216, val_loss=0.6462
[RNN] hidden_dim=200, layers=2, dropout=0.0, bi=True -> val_acc=0.7276, val_loss=0.8492
[RNN] hidden_dim=200, layers=2, dropout=0.3, bi=False -> val_acc=0.7205, val_loss=0.5990
[RNN] hidden_dim=200, layers=2, dropout=0.3, bi=True -> val_acc=0.7403, val_loss=0.7546
[RNN] hidden_dim=200, layers=2, dropout=0.5, bi=False -> val_acc=0.7419, val_loss=0.5467
[RNN] hidden_dim=200, layers=2, dropout=0.5, bi=True -> val_acc=0.7463, val_loss=0.6826
[RNN] hidden_dim=200, layers=3, dropout=0.0, bi=False -> val_acc=0.7381, val_loss=0.6422
[RNN] hidden_dim=200, layers=3, dropout=0.0, bi=True -> val_acc=0.7446, val_loss=1.0141
[RNN] hidden_dim=200, layers=3, dropout=0.3, bi=False -> val_acc=0.7474, val_loss=0.5847
[RNN] hidden_dim=200, layers=3, dropout=0.3, bi=True -> val_acc=0.7457, val_loss=0.8432
[RNN] hidden_dim=200, layers=3, dropout=0.5, bi=False -> val_acc=0.7534, val_loss=0.5431
[RNN] hidden_dim=200, layers=3, dropout=0.5, bi=True -> val_acc=0.7397, val_loss=0.6923
[RNN] hidden_dim=200, layers=4, dropout=0.0, bi=False -> val_acc=0.7326, val_loss=0.6728
[RNN] hidden_dim=200, layers=4, dropout=0.0, bi=True -> val_acc=0.7408, val_loss=1.1020
[RNN] hidden_dim=200, layers=4, dropout=0.3, bi=False -> val_acc=0.7507, val_loss=0.5666
[RNN] hidden_dim=200, layers=4, dropout=0.3, bi=True -> val_acc=0.7463, val_loss=0.8887
[RNN] hidden_dim=200, layers=4, dropout=0.5, bi=False -> val_acc=0.7562, val_loss=0.5221
[RNN] hidden_dim=200, layers=4, dropout=0.5, bi=True -> val_acc=0.7672, val_loss=0.6604
[RNN] hidden_dim=300, layers=2, dropout=0.0, bi=False -> val_acc=0.7337, val_loss=0.6847
[RNN] hidden_dim=300, layers=2, dropout=0.0, bi=True -> val_acc=0.7243, val_loss=1.4328
[RNN] hidden_dim=300, layers=2, dropout=0.3, bi=False -> val_acc=0.7485, val_loss=0.5875
[RNN] hidden_dim=300, layers=2, dropout=0.3, bi=True -> val_acc=0.7194, val_loss=1.2388
[RNN] hidden_dim=300, layers=2, dropout=0.5, bi=False -> val_acc=0.7457, val_loss=0.5595
[RNN] hidden_dim=300, layers=2, dropout=0.5, bi=True -> val_acc=0.7128, val_loss=1.2103
[RNN] hidden_dim=300, layers=3, dropout=0.0, bi=False -> val_acc=0.7210, val_loss=0.6358
[RNN] hidden_dim=300, layers=3, dropout=0.0, bi=True -> val_acc=0.7254, val_loss=1.5122
[RNN] hidden_dim=300, layers=3, dropout=0.3, bi=False -> val_acc=0.7496, val_loss=0.5781
[RNN] hidden_dim=300, layers=3, dropout=0.3, bi=True -> val_acc=0.7232, val_loss=1.2425
